date,avg_sentiment_score,open,close,high,low,volume,code
2017-03-31,-0.35714285714285715,3434.82,3456.05,3456.31,3430.82,91577491,hs300
2017-04-05,-0.3333333333333333,3476.42,3503.89,3504.54,3475.15,143399017,hs300
2017-04-06,-0.2222222222222222,3507.99,3514.05,3517.78,3495.72,136767004,hs300
2017-04-07,-0.125,3514.45,3517.46,3526.81,3506.39,140293204,hs300
2017-04-10,-0.2222222222222222,3519.46,3505.14,3522.8,3502.08,141887380,hs300
2017-04-11,-0.2222222222222222,3503.83,3517.33,3520.13,3466.14,165945832,hs300
2017-04-12,0.8571428571428571,3514.57,3509.44,3523.1,3498.0,181824537,hs300
2017-04-13,0.06666666666666667,3500.28,3514.57,3518.44,3496.57,129981813,hs300
2017-04-14,-0.2608695652173913,3516.81,3486.5,3517.47,3476.95,135474078,hs300
2017-04-17,0.05,3475.74,3479.94,3480.57,3453.68,117164961,hs300
2017-04-18,-0.36363636363636365,3474.89,3462.74,3489.08,3462.63,110927823,hs300
2017-04-19,0.16666666666666666,3452.99,3445.88,3459.35,3418.51,121349264,hs300
2017-04-20,-0.4444444444444444,3444.52,3461.55,3465.61,3440.72,114184208,hs300
2017-04-21,0.1,3461.39,3466.79,3475.56,3449.54,104419110,hs300
2017-04-24,-0.34375,3458.23,3431.26,3458.23,3403.98,114660791,hs300
2017-04-25,0.21052631578947367,3427.73,3440.97,3449.67,3422.65,94072148,hs300
2017-04-26,-0.6666666666666666,3440.25,3445.18,3466.57,3439.15,111940029,hs300
2017-04-27,-0.46153846153846156,3435.1,3446.72,3449.27,3399.54,123298425,hs300
2017-04-28,-0.625,3439.57,3439.75,3439.9,3417.24,101632351,hs300
2017-05-02,0.0,3427.92,3426.58,3436.31,3418.67,92797462,hs300
2017-05-03,0.3076923076923077,3421.76,3413.13,3432.22,3403.08,91669624,hs300
2017-05-04,0.0,3404.94,3404.39,3421.4,3391.28,103482075,hs300
2017-05-05,-0.14285714285714285,3393.48,3382.55,3395.45,3366.56,109895333,hs300
2017-05-08,-0.75,3369.11,3358.81,3374.16,3339.57,123749287,hs300
2017-05-09,-0.6521739130434783,3342.6,3352.53,3358.05,3327.59,76771668,hs300
2017-05-10,-0.39473684210526316,3350.65,3337.7,3369.43,3336.0,92082628,hs300
2017-05-11,-0.39473684210526316,3322.95,3356.65,3359.6,3312.89,109252890,hs300
2017-05-12,-0.5294117647058824,3350.94,3385.38,3387.27,3349.17,93386466,hs300
2017-05-15,-0.18181818181818182,3391.59,3399.19,3406.58,3391.59,82977611,hs300
2017-05-16,0.6428571428571429,3390.93,3428.65,3428.85,3373.55,105242416,hs300
2017-05-17,0.0,3423.19,3409.97,3433.97,3408.15,99736837,hs300
2017-05-18,-0.9166666666666666,3387.67,3398.11,3409.93,3383.94,85759589,hs300
2017-05-19,-0.15789473684210525,3395.23,3403.85,3405.94,3392.38,71473525,hs300
2017-05-22,0.047619047619047616,3400.59,3411.24,3424.18,3391.17,92539559,hs300
2017-05-23,-0.36538461538461536,3405.03,3424.19,3434.77,3401.53,116911033,hs300
2017-05-24,-0.3333333333333333,3409.72,3424.17,3424.17,3383.89,83553161,hs300
2017-05-25,0.17857142857142858,3414.4,3485.66,3490.42,3413.22,130721631,hs300
2017-05-26,-0.48,3479.62,3480.43,3498.31,3473.04,103241153,hs300
2017-05-31,-0.3548387096774194,3495.07,3492.88,3515.08,3474.92,104829744,hs300
2017-06-01,-0.4666666666666667,3485.22,3497.74,3499.81,3476.43,103127724,hs300
2017-06-02,-0.08333333333333333,3491.59,3486.51,3498.12,3470.2,82668010,hs300
2017-06-05,-0.6666666666666666,3480.17,3468.75,3484.12,3462.31,79738152,hs300
2017-06-06,-0.6875,3464.38,3492.88,3492.88,3460.45,64089388,hs300
2017-06-07,-0.375,3493.88,3533.87,3537.09,3491.13,104419968,hs300
2017-06-08,0.14285714285714285,3531.24,3560.98,3562.27,3528.18,90224905,hs300
2017-06-09,-0.0625,3561.24,3576.17,3590.89,3560.63,101188265,hs300
2017-06-12,-0.3125,3570.22,3574.39,3603.69,3565.9,90381167,hs300
2017-06-13,0.041666666666666664,3569.16,3582.27,3584.41,3559.21,75177138,hs300
2017-06-14,-0.2631578947368421,3571.25,3535.3,3571.25,3530.27,83810783,hs300
2017-06-15,0.26666666666666666,3530.75,3528.79,3542.28,3508.95,82632535,hs300
2017-06-16,0.0,3522.97,3518.76,3536.14,3514.39,76452707,hs300
2017-06-19,0.13333333333333333,3520.06,3553.67,3554.91,3520.06,79797141,hs300
2017-06-20,-0.6,3560.79,3546.49,3563.7,3539.51,80509559,hs300
2017-06-21,-0.06666666666666667,3567.13,3587.96,3587.99,3545.57,87859824,hs300
2017-06-22,0.4375,3583.56,3590.34,3635.53,3581.34,135526987,hs300
2017-06-23,-0.125,3583.44,3622.88,3623.24,3569.32,105129134,hs300
2017-06-26,-0.5238095238095238,3627.02,3668.09,3671.94,3627.02,134637995,hs300
2017-06-27,0.18181818181818182,3665.58,3674.72,3676.53,3648.76,97558702,hs300
2017-06-28,0.3,3664.16,3646.17,3672.19,3644.03,97920858,hs300
2017-06-29,0.0,3649.25,3668.83,3669.13,3644.73,85589498,hs300
2017-06-30,0.14285714285714285,3654.73,3666.8,3669.76,3646.23,81510028,hs300
2017-07-03,-0.4,3667.23,3650.85,3667.6,3633.78,88820860,hs300
2017-07-04,-0.4444444444444444,3646.83,3619.98,3646.85,3611.69,95071413,hs300
2017-07-05,0.15384615384615385,3611.9,3659.68,3660.73,3610.46,88232425,hs300
2017-07-06,-0.6363636363636364,3654.56,3660.1,3666.77,3629.56,102379245,hs300
2017-07-07,-0.7,3647.64,3655.93,3657.11,3631.87,103735497,hs300
2017-07-10,1.1111111111111112,3647.94,3653.69,3667.85,3641.53,120591910,hs300
2017-07-11,0.0,3646.88,3670.81,3701.21,3645.99,118760826,hs300
2017-07-12,0.3076923076923077,3672.63,3658.82,3691.58,3640.59,122287792,hs300
2017-07-13,0.0,3656.35,3686.92,3690.48,3652.57,125669549,hs300
2017-07-14,-0.9090909090909091,3682.62,3703.09,3703.09,3672.74,105514005,hs300
2017-07-17,-0.625,3700.62,3663.56,3716.47,3621.37,178821600,hs300
2017-07-18,-0.5,3648.49,3667.18,3667.54,3622.04,124622056,hs300
2017-07-19,-0.8333333333333334,3660.87,3729.75,3731.05,3658.2,182477787,hs300
2017-07-20,-0.21428571428571427,3725.14,3747.88,3750.19,3723.07,142410039,hs300
2017-07-21,-0.8888888888888888,3738.18,3728.6,3751.69,3722.07,117941226,hs300
2017-07-24,-0.2727272727272727,3724.38,3743.47,3755.19,3719.85,134868722,hs300
2017-07-25,-0.06666666666666667,3742.64,3719.56,3752.16,3713.28,121672059,hs300
2017-07-26,0.26666666666666666,3722.88,3705.39,3738.53,3684.18,136325210,hs300
2017-07-27,-0.8095238095238095,3700.86,3712.19,3716.69,3672.5,145002904,hs300
2017-07-28,-0.14285714285714285,3703.49,3721.89,3725.54,3696.78,111411392,hs300
2017-08-01,0.8,3738.74,3770.38,3770.4,3737.1,152546539,hs300
2017-08-02,0.14285714285714285,3768.19,3760.85,3784.35,3759.28,172293383,hs300
2017-08-03,-0.18181818181818182,3755.11,3727.83,3766.35,3718.44,146153944,hs300
2017-08-04,-0.16666666666666666,3724.72,3707.58,3738.73,3707.0,157470060,hs300
2017-08-07,-0.6,3701.22,3726.79,3730.78,3689.96,124231530,hs300
2017-08-08,0.8181818181818182,3724.33,3732.21,3737.33,3718.81,137241928,hs300
2017-08-09,-0.4,3728.03,3731.04,3739.0,3713.57,124679989,hs300
2017-08-10,0.3333333333333333,3724.96,3715.92,3746.86,3688.18,130085128,hs300
2017-08-11,0.4666666666666667,3687.93,3647.35,3700.49,3645.09,150387421,hs300
2017-08-14,0.25,3651.38,3694.68,3698.37,3651.38,115308451,hs300
2017-08-15,0.6666666666666666,3695.78,3706.06,3719.29,3692.28,106444857,hs300
